chip_id,mean_red,mean_green,mean_blue,vegetation_index
1,89,163,101,0.63
2,79,109,67,0.55
3,95,160,136,0.51
4,104,159,117,0.41
5,127,133,65,0.66
6,128,145,94,0.58
7,82,134,94,0.65
8,107,154,104,0.81
9,103,100,64,0.44
10,80,136,124,0.89
11,140,103,136,0.55
12,97,141,123,0.44
13,113,187,111,0.88
14,88,168,136,0.65
15,139,198,126,0.44
16,70,151,96,0.89
17,76,167,75,0.71
18,81,124,138,0.6
19,93,165,62,0.5
20,117,107,67,0.74
21,71,112,68,0.54
22,134,192,72,0.82
23,134,172,135,0.89
24,105,176,83,0.9
25,124,143,79,0.47
26,123,129,84,0.5
27,72,109,119,0.49
28,125,151,109,0.53
29,122,176,107,0.57
30,70,176,97,0.68
31,80,164,82,0.78
32,135,148,100,0.81
33,93,155,62,0.73
34,73,156,105,0.8
35,125,100,70,0.66
36,72,135,134,0.64
37,101,155,106,0.8
38,116,184,124,0.71
39,83,174,100,0.86
40,138,165,127,0.48
41,92,147,78,0.52
42,127,147,90,0.53
43,116,154,95,0.68
44,134,126,61,0.7
45,84,109,113,0.88
46,135,137,73,0.42
47,94,189,62,0.86
48,79,130,118,0.84
49,94,126,127,0.6
50,123,193,110,0.66
